ID,Técnico,Nombre,Nacimiento,LugarNacimiento,Muerte,LugarMuerte,Biografía,Trayectoria,Foto
Acosta,Benicio Acosta,Benicio Acosta,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEibIZFkiQdbc73YB_QOXUduh0rxyqM3499SpOaHbPa5zHMwexGHUDiV6-V42ka-uWLTAnM8X3upXOzPKEMp_ld076xjsTHtL_G0flYNIldAjFn9DmFhfcFbQgToULj00hP4defRmaKs08WcbKgIH5DGUmxN2LYZ1fTBsNwLXBvu51hH2giSlkTzuMLyMigY=w400-h600
Alfaro,Gustavo Alfaro,Gustavo Alfaro,sin datos,sin datos,sin datos,sin datos,"participó en los campeonatos y Copa Argentina de la temporada 2017/18 y 2018/19.  Sus mejores recuerdos provienen de los triunfos ante River, Estudiantes y Godoy Cruz, todos por 1-0, en 2018",trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEgIXMHyInpjqZUu1vqHsnOSCCnYiOiVogLl_1I_9uMxYMCGW9BtDKHqKCYakOjw8kwvMvbRf6ltijqRhK2neEdpFiamiLS3miUNDU3zOymWqZZg6_JVakw03ZGuYctT_9QMat9NYzEc-KHgxB8ATS6nM5pviWXZZZ0iq4Z0h8EZkgSCVyqK4L30YaYttqem=w159-h211
Apuzzo,Néstor Apuzzo,Néstor Apuzzo,sin datos,sin datos,sin datos,sin datos,"Debutó con un triunfo 3-0 ante Independiente Rivadavia.  Dirigió en la B Nacional 2011/12, cuando se fue al caer 1-5 con Aldosivi.  Volvió en 2013/14 y 2014.  Dirigió y fue campeón con Huracán de la Copa Argentina 2013/14.  Continuó con el equipo para afrontar el Campeonato, Copa Argentina y Copa Libertadores de 2015, aunque se retiró tras una derrota 0-3 con Chicago.  Ese año obtuvo grandes triunfos como los logrados por 4-1 ante Alianza Lima, el 3-1 a Cruzeiro y el 1-0 a Estudiantes de La Plata.  Retornó a la dirección en el Campeonato 2016/17, así como en la Copa Sudamericana 2017, donde perdió 1-5 con Libertad de Paraguay.",trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEhIpFNtr9RIy55GCyF_0vj4_PBl5gxGq3b1EGQN7jYjVWyWE9D98GLmV2zFYe87KEOKveQPYiS67Xw3Y84d0MQ_QH4CBlru61PhR3DgeBau6hfF99WfM8ZMtSJUxvSPYwpcFzNPuixK4LXD3BqlPRGo6_nCVa1CnBY5Monw0XrB0vJBvEji0Q69Eku-s_Xc=w160-h212
Ardiles,Osvaldo Ardiles,Osvaldo César Ardiles,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhaRWl0XZQ-7tmy0wkCm_lcUtlqO1ofr_4nyV77laq6TdV95XHruaaXIxUVjuCmdIPMGiLjJ_N66FBJKd8rtupSiXnvQRE1_Gjgd6yVPGB2Lq-2SuM2FXl1rvULmTgNxRZsPYzsq4GxnIV0/w221-h295/Ardiles+Osvaldo+03+%2528color%2529+G.jpg
Azconzábal,Juan M. Azconzábal,Juan Manuel Azconzábal,sin datos,sin datos,sin datos,sin datos,"participó en el Campeonato y en la Copa Argentina 2016/17, así como en la Copa Sudamericana 2017, donde obtuvo un triunfo significativo por 4-0 ante Anzoátegui.",trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEjnxbwoPi7unIdYLWxoQU0WiPMG59TX5TLs8Lpd_4trfIn2OQdgwh5ergPFW_uobYt8bEqo3m3PwKsKud865VkLlt6GA33dN1D1hgyhBXJFXwLZPAQsNSyC3jy4CgMt6LCNAidpHQigAssyWKt5FJQZCjw5zw_bQGo6SzDlSyz_s-PWGhESA9bDi8FZny_Z=w163-h217
Babington,Carlos Babington,Carlos Alberto Babington,sin datos,sin datos,sin datos,sin datos,"Su última etapa como técnico la tuvo en el Apertura 2002 y Clausura 2003, con pocos resultados.  Se alejó tras caer 2-3 con Colón",trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjM7cnEQL4zSf4t23GU_I_EgJbf8wZYBxSUBCZOAuPEewi8h3Ml91SgRoY64bEIAxafp_zBB-mPqS6bWjXQ-k2GyCJRIQ7nxjIV0FfdhHzcryhzXrgRqn3gHEz-09b0zO-mLjoOCXhuEZQq/w160-h215/Babington+Carlos+02+%2528color%2529+G.jpg
Baldonedo,Emilio Baldonedo,Emilio Baldonedo,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgkoH7RPzVcFMKaJ8GlOHXy2ktAhgjBwgVG_L5gS7A8_oXVmxEMVPBALUwfCtie7ymKJF9yEHyamutzoioAdR2gyBCB0ZR_dn1ncboTD6kzFf4W7qvyG7hvO_n6mTg8Ja4R7QXtP2KmjzHb/w155-h213/Baldonedo+Emilio+06+%2528color%2529+G.jpg
Battaglia,Sebastián Battaglia,Sebastián Battaglia,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEissRyhZfkc0ZSsm-vBGpajfNHZeBbDtmSCtNL9eWcUU5OtlokkmUxsKgV4vBMYhwrMOQOCGfpZoltwGta59uz2-V2QqxcwMQdXZ87vqJKioPk_z6JatffZ8ydTsejYe-vTgUUDPcD7Hb5XletF6SFqCCKQufICyBbjqyNpIPxJMHx0vjKTHfa2hHfvcF03=w159-h212
Brindisi,Miguel Brindisi,Miguel Ángel Brindisi,sin datos,sin datos,sin datos,sin datos,"condujo a Huracán en el Apertura 2001, Clausura 2002 y Apertura 2002.  Tuvo buenos resultados: ganó 1-0 a San Lorenzo y 1-0 a Independiente, además de un 4-0 a este último, que fues suspendido mucho antes del final.  Se fue en 2002 tras perder 0-1 con Chacarita.  Dirigió en una etapa más, entendiendo que podría armar el equipo para ascender en 2012, pero no se llegó a confiar en él para la dirección.",trayectoria,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLw9UdT95Vn2FEoeYeLyLQOolkLgNg_KshqPH9GMh96dUBuc-FHbzVn_XIj5Kglgk3TCLsHAb41GZZT_TZjvzEDE9w8npQNemIAD9QAWFCYM0a5Xu5WAUXW_X3-VWNGTc5LNn9A2ErBZn1/w223-h299/Brindisi+Miguel+06+%2528color%2529+G.jpg
Broggi,Marcelo Broggi,Marcelo Broggi,sin datos,sin datos,sin datos,sin datos,bio,trayectoria,https://blogger.googleusercontent.com/img/a/AVvXsEj-T3xzmuQMV2t_ir4SXA2W-cXLelSAAEZLGYOnl9DK03LMLMQHbTgEZIZLqidH37HjuoAArcYXqIqTisM-P5R9nIO0Al62q45EI7oS2ZK6iawz_Enx1MrmbIpPRYRG0Q2g4yzQGcfVGsxKvhjGmD7jU2R-1mTQfXKvpYWNBxgkj4GD7DqPqTs_2fWtyryf=w157-h211
